OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	0	118	0	0	0	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3197	1874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	147	108
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	108	136	127	108	165	213	35	31	22	10	32	23	166	184	20	0	0	0	0	122	129	14	0	123	0	0	11	210	140	37	71	22	136	0	106	41	11	14	149	64	0	37	81	89	11	86	144	114	233	58	55	106	72	0	65	75	12	52	0	0	242	0	0	0	109	59	8	101	178	0	0	50	47	34	122	173	125	26	0	84	199	129	39	4	109	70	46	0	613	237	0	0	0	0	0	256	135	0	0	17	104	57	0	49	10	8	0	7	11	13
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured	175	223	226	696	975	1011	0	0	0	0	0	0	682	595	63	0	0	0	0	0	0	0	0	282	0	0	0	492	0	0	0	10	379	0	0	0	0	0	0	0	0	0	0	0	0	37	0	131	1921	129	0	703	656	0	0	355	102	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	21	35	15	18	23
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0	0	0	265	55	22	0	0	0	57	485	54	22	0	0	0	0	0	0	0	0	0	103	148	583	15	0	22	52	38	35	0	0	0	389	482	439	546	61	85	325	42	468	452	0	0	72	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	308	30	0	658	540	29	10	103	59	103	0	585	661	98	0	59	377	182	25	52	106	0	92	249	0	0	0	0	0	0	0	0	0	7	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	36	43	119	209	228	44	31	25	114	95	182	106	141	0	21	35	30	0	60	60	45	0	0	151	188	62	33	8	0	0	7	41	0	335	268	308	350	136	279	33	62	131	295	0	12	56	7	115	14	44	142	88	9	16	58	0	0	20	14	75	83	16	31	17	48	0	50	56	0	0	0	50	22	94	102	78	11	38	68	88	82	158	185	389	18	72	0	227	183	101	40	132	0	13	110	47	157	60	0	0	52	0	100	53	31	34	83	106	110
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	85	109	130	289	356	408	45	40	21	55	66	69	968	27	0	112	93	84	80	95	44	55	9	22	43	69	95	438	70	126	94	0	1184	0	96	136	79	48	132	108	74	21	45	47	0	38	91	222	529	12	26	1182	1198	18	30	37	0	7	0	0	111	98	25	68	17	28	0	39	34	13	4	69	13	43	26	142	51	6	10	24	46	40	29	17	139	0	10	132	139	63	50	68	68	41	87	61	19	39	67	0	20	22	0	97	134	158	164	150	171	133
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	66	87	96	44	51	52	187	214	157	103	99	112	206	282	52	9	48	54	48	52	108	49	14	80	9	19	15	62	16	58	85	50	16	31	113	62	40	106	116	16	42	24	63	98	111	27	41	25	7	10	94	19	10	205	39	51	12	466	122	29	36	277	77	217	266	177	12	340	465	159	18	51	164	96	34	77	62	32	27	49	56	53	18	3	100	37	115	90	55	21	40	52	23	60	143	0	585	0	51	0	21	0	12	408	363	486	462	653	712	629
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea	89	123	129	119	174	186	19	30	12	13	23	17	166	180	0	0	35	161	0	0	0	0	0	81	0	0	0	96	0	0	0	0	197	0	0	130	64	0	0	0	0	0	54	95	0	0	0	106	175	59	0	245	170	0	17	140	76	21	0	0	261	0	0	0	207	63	0	121	326	0	0	0	60	12	126	0	0	33	0	39	0	136	37	0	0	42	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	85	13	113	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter	96	108	112	0	0	16	10	0	10	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	383	62	19	77	301	0	104	82	25	42	635	673	0	0	0	381	0	0	60	227	641	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	150	0	0	0	29	45	33	141	152	123
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	916	961	654	774	723
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	1738	2017	82	127	61
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	669	451	471	1136	1158	757
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea	37	69	62	20	48	52	83	85	82	59	66	70	0	96	23	54	113	36	58	261	180	146	5	0	0	15	12	0	0	0	0	33	43	0	72	128	76	96	118	138	131	85	167	198	0	0	0	0	17	0	143	179	88	142	34	84	26	56	19	0	182	169	60	167	117	101	11	76	185	31	0	36	181	70	87	106	73	41	0	46	35	100	150	16	177	32	136	142	237	116	22	0	174	212	247	186	430	25	66	0	162	126	0	146	0	16	0	0	0	10
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	636	567	733	895	866
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	19	0	0	0	0	0	0	0	0	3	0	0	13	0	0	0	423	239	0	0	0	241	138	971	123	0	0	0	10	198	1182	75	24	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	4	28	21	9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755	29	31	26	93	120	109	10	7	0	34	25	56	26	36	0	86	39	76	0	11	28	10	34	0	15	102	11	0	0	0	0	6	25	16	133	46	63	136	100	118	47	11	17	91	0	17	20	9	69	5	46	0	0	36	21	54	0	46	0	0	26	18	39	31	22	55	0	86	22	0	24	28	15	48	56	30	25	61	0	14	26	41	12	5	84	20	72	40	304	94	0	0	27	0	0	0	14	137	40	0	0	18	0	48	3	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group	0	0	0	120	132	96	0	0	0	130	94	115	0	0	0	0	0	0	0	80	80	72	67	0	113	96	49	0	0	0	0	0	0	0	53	133	42	53	125	50	72	85	120	88	0	0	0	0	0	0	99	97	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	74	39	0	0	15	62	72	80	85	36	0	33	63	100	127	0	0	147	70	92	0	0	0	0	0	0	0	0	0	14	17	15	38	41	13
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	230	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	275	284	484	522	592
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	541	545	761	746	931
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	919	868	2887	2912	2330
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	1084	912	140	190	162
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	6	5	64	60	133	0	0	3	93	72	87	6	21	0	35	20	9	0	37	51	29	62	0	19	107	19	0	0	0	3	0	0	0	199	51	82	169	84	75	20	5	14	64	0	0	0	0	46	0	54	119	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	61	24	0	5	0	42	55	10	0	160	0	62	54	703	144	17	103	26	10	60	66	0	28	28	0	0	0	0	0	43	64	69	53	78	91
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	256	261	716	886	770
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	15	37	27	35	45	31	0	0	0	17	23	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	375	331	683	689	702
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	1232	1172	31	40	32
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	1897	261	0	0	0	0	0	0	0	0	0	179	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	52	48	81	93	50
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae	7	14	13	60	108	97	19	25	13	192	126	155	0	0	0	0	0	6	10	47	43	24	56	0	29	67	52	0	0	0	5	0	0	0	67	69	43	89	114	72	69	24	52	100	0	0	0	0	0	0	92	13	36	0	0	0	0	0	0	0	0	14	0	0	6	0	0	0	12	0	0	0	0	0	29	34	27	0	0	8	21	18	0	54	59	6	42	80	54	49	47	33	19	22	21	37	12	25	47	0	21	13	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	34	46	56	21	45	39	0	32	39	45	55	50	52	32	0	0	0	0	28	66	38	19	32	16	26	51	53	25	22	0	0	0	30	0	51	0	21	37	58	21	59	56	0	32	0	15	18	19	36	19	62	35	23	17	15	0	0	0	0	0	59	0	0	0	0	0	0	23	33	0	0	0	16	0	23	40	50	0	0	20	42	41	71	19	13	0	0	10	25	22	86	40	84	102	152	68	34	22	86	0	48	0	0	0	0	0	6	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	325	296	518	582	617
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	861	819
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	109	143	124	86	91	90	57	57	67	78	100	90	26	19	25	26	7	23	8	42	89	29	20	0	14	49	33	8	0	22	0	21	0	23	69	100	20	83	69	25	36	5	8	74	0	29	44	38	47	5	50	32	19	25	0	85	45	142	0	6	34	37	71	31	0	51	0	0	10	11	9	53	34	286	29	8	19	66	8	0	99	55	17	0	45	46	29	35	22	62	75	41	42	38	100	18	57	0	9	0	0	11	0	27	90	109	95	135	147	150
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	808	686
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	45	66	83	0	0	0	90	84	78	0	0	0	0	16	0	81	49	39	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	21	40	31	25	0	0	91	0	0	0	0	31	0	25	33	0	46	27	54	0	0	0	0	0	60	10	26	0	41	0	0	13	0	0	21	0	4	0	0	0	0	0	0	0	0	0	0	0	8	30	21	0	0	0	0	11	0	0	0	43	0	0	0	0	17	0	52	743	899	919	236	222	233
Unassigned;__;__;__;__;__	71	103	140	57	91	164	96	98	125	151	196	196	57	76	30	148	91	154	99	140	211	168	73	29	65	102	49	64	9	83	34	68	93	38	96	110	110	136	79	127	64	71	55	156	43	18	10	29	17	50	65	96	70	158	98	157	58	99	166	182	78	207	128	127	71	178	16	92	185	51	12	106	104	149	74	90	66	40	45	86	96	69	115	107	170	59	93	186	113	119	124	94	109	54	132	71	153	35	65	9	38	63	33	157	43	96	63	5	12	19
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	312	278	381	396	411
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066	1238	1155	1953	2164	2151
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	561	614	0	0	12
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	559	545	5	12	2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	202	185	305	433	321
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	145	165	269	344	342
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	413	100	586	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	424	424	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	46	0	0	0	57	61	275	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	36	51	280	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	26	17	13
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	325	309	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	124	110	222	181	140
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	303	342	79	74	62
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	405	358	165	185	169
